,Country,Literacy_Rate,Buddhists,Christians,Folk_Religions,Hindus,Jews,Muslims,Other_Religions,Unaffiliated,alcohol_rate_2000,alcohol_rate_2005,alcohol_rate_2010,alcohol_rate_2015,pg_2000,pg_2005,pg_2010,pg_2015,gdp_2000,gpd_2005,gpd_2010,gpd_2015,gdp_per_capita_2000,gdp_per_capita_2005,gdp_per_capita_2010,gdp_per_capita_2015,mortality_rate_2000,mortality_rate_2005,mortality_rate_2010,mortality_rate_2015,Longitude,Latitude,mortality_rate,mortality_state
51,Guatemala,75.9,1.0,95.2,1.0,1.0,1.0,1.0,1.0,4.1,4.4,4.29,3.51,2.55,2.43,2.08,1.84,1.69,19288827158.9,26783543667.06,40676432028.59,62186186575.74,1664.3,2068.5,2852.55,3994.64,219.6,211.2,186.1,164.7,-90.345759,15.5855545,16.47,2
52,Guinea,41.0,1.0,10.9,2.7,1.0,1.0,84.4,1.0,1.8,0.67,0.77,0.7,1.07,2.28,2.04,2.26,2.49,2995361140.63,2937071767.26,6853467857.61,8794202443.67,363.48,322.42,672.42,769.26,328.8,328.6,286.2,277.1,-10.7083587,10.7226226,27.71,3
53,Guinea-Bissau,55.3,1.0,19.7,30.9,1.0,1.0,45.1,1.0,4.3,4.15,5.31,4.47,5.05,2.03,2.37,2.57,2.61,371095510.05,587029054.44,849878424.23,1048229629.42,308.91,436.48,558.17,603.4,291.2,304.7,297.9,278.2,-14.9000214,12.100035,27.82,3
54,Guyana,91.8,1.0,66.0,1.0,24.9,1.0,6.4,1.0,2.0,8.98,7.98,6.78,7.35,-0.4,0.06,0.23,0.53,712667896.73,824880550.34,3432913073.24,4279840193.7,954.4,1105.51,4580.7,5576.83,282.4,266.6,257.9,263.9,-58.6416891,4.8417097,26.39,3
55,Haiti,48.7,1.0,86.9,2.2,1.0,1.0,1.0,1.0,10.6,3.97,3.86,2.99,2.69,1.72,1.62,1.53,1.38,6813577558.18,7184064657.3,11859315078.79,14833154471.75,805.03,781.28,1191.97,1386.85,305.8,289.7,682.5,244.6,-72.3570972,19.1399952,24.46,3
56,Honduras,85.1,1.0,87.6,1.1,1.0,1.0,1.0,1.0,10.5,3.5,3.88,3.59,3.49,2.73,2.39,2.02,1.74,7186650135.44,9757034456.76,15839344591.98,20979767785.21,1093.11,1308.09,1904.35,2302.2,176.1,164.4,155.5,146.5,-86.0755145,15.2572432,14.65,2
57,Hungary,99.0,1.0,81.0,1.0,1.0,1.0,1.0,1.0,18.6,14.27,14.56,12.09,11.6,-0.26,-0.2,-0.23,-0.24,47218405892.43,113236711635.54,132231134158.61,125210324613.14,4624.28,11225.93,13223.08,12720.71,192.6,182.4,152.1,132.3,19.5060937,47.1817585,13.23,2
58,Iceland,99.0,1.0,95.0,1.0,1.0,1.0,1.0,1.0,3.5,7.03,7.74,7.5,8.74,1.37,1.58,-0.14,1.04,9025660361.76,16852963067.05,13751161917.74,17517210519.09,32096.37,56794.85,43237.07,52951.68,76.07,61.37,53.36,54.38,-18.1059013,64.9841821,5.44,1
59,India,62.8,1.0,2.5,1.0,79.5,1.0,14.4,2.3,1.0,2.28,2.33,4.35,5.54,1.77,1.58,1.35,1.12,468394937262.37,820381595512.9,1675615335600.56,2103587813812.75,443.31,714.86,1357.56,1605.61,223.8,210.8,194.4,180.5,78.6677428,22.3511148,18.05,2
60,Indonesia,92.8,1.0,9.9,1.0,1.7,1.0,87.2,1.0,1.0,0.5,0.48,0.59,0.6,1.38,1.34,1.34,1.27,165021012077.81,285868618224.02,755094160363.07,860854235065.08,780.19,1263.29,3122.36,3331.7,187.3,189.1,187.0,177.6,117.8902853,-2.4833826,17.76,2
61,Iraq,78.5,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,0.45,0.44,0.49,0.37,3.0,2.29,2.62,3.32,48364250943.91,49954890353.26,138516722649.57,166774109673.73,2058.26,1855.52,4657.28,4688.32,148.4,210.1,144.4,180.3,44.1749775,33.0955793,18.03,2
62,Ireland,99.0,1.0,92.0,1.0,1.0,1.0,1.1,1.0,6.2,15.13,14.2,12.07,12.47,1.33,2.18,0.54,0.94,100207610429.91,211876989655.91,221876011283.5,291580037584.33,26334.57,50933.02,48655.37,62012.48,92.96,75.41,65.12,62.77,-7.9794599,52.865196,6.28,1
